Chiroxiphia lanceolata
Trogon surrucura
Lonchura striata domestica
Denticeps clupeoides
Neostethus bicornis
Epinephelus moara
Syngnathoides biaculeatus
Cromileptes altivelis
Cromileptes altivelis
Epinephelus lanceolatus
Epinephelus lanceolatus
Pangasianodon hypophthalmus
Pangasianodon hypophthalmus
Lateolabrax maculatus
Lateolabrax maculatus
Proterorhinus semilunaris
Megaleporinus macrocephalus
Hemibagrus wyckioides
Hydrophis curtus
Coilia nasus
Onychostoma macrolepis
Sphaeramia orbicularis
Amblyraja radiata
Pholidichthys leucotaenia
Thalassophryne amazonica
Periophthalmus magnuspinnatus
Etheostoma cragini
Leptobrachium ailaonicum
Takifugu flavidus
Takifugu bimaculatus
Thamnaconus septentrionalis
Polydactylus sextarius
Porphyrio hochstetteri
Gouania willdenowi
Leptobrachium leishanense
Nematolebias whitei
Rhegmatorhina hoffmannsi
Gasterosteus aculeatus aculeatus
Pogoniulus pusillus
Diglossa brunneiventris
Heteronetta atricapilla
Myripristis murdjan
Nettapus auritus
Pluvialis apricaria
Pristis pectinata
Coregonus sp. 'balchen'
Antennarius maculatus
Rafetus swinhoei
Corvus cornix cornix
Sphaerodactylus townsendi
Toxotes jaculatrix
Aplochiton taeniatus
Setophaga coronata coronata
Motacilla alba alba
Theristicus caerulescens
Danio aesculapii
Corvus moneduloides
Notolabrus celidotus
Cairina moschata domestica
Melanotaenia boesemani
Rhinogobius similis
Microcaecilia unicolor
Fringilla coelebs coelebs
Lichenostomus cassidix
Podarcis muralis nigriventris
Siphamia tubifer
Triplophysa tibetana
Triplophysa dalaica
Puntigrus tetrazona
Kryptolebias hermaphroditus
Gasterosteus nipponicus
Pao palembangensis
Gopherus evgoodei
Strigops habroptila
Lampris incognitus
Malurus cyaneus samueli
Salvelinus sp. IW2-2015
Seriola aureovittata
