
organism_name
Gallus gallus
Gallus gallus
Gallus gallus
Gallus gallus
Lophura nycthemera
Pavo cristatus
Pavo cristatus
Pavo muticus
Phasianus colchicus
Phasianus colchicus
Syrmaticus mikado
Alectoris rufa
Bambusicola thoracicus
Chrysolophus pictus
Crossoptilon mantchuricum
Meleagris gallopavo
Meleagris gallopavo
Grus americana
Fulica atra
Gymnorhina tibicen
Serinus canaria
Serinus canaria
Parus major
Passer montanus
Pitta sordida
Sturnus vulgaris
Pomatostomus ruficeps
Agelaius tricolor
Phalacrocorax carbo
Phoenicopterus ruber ruber
Phoenicopterus ruber ruber
Phoenicopterus ruber ruber
Ara ararauna
Psittacula krameri
Aptenodytes forsteri
Aptenodytes patagonicus
Pygoscelis adeliae
Pygoscelis adeliae
Pygoscelis adeliae
Spheniscus humboldti
Spheniscus humboldti
Spheniscus humboldti
Calypte anna
Calypte anna
Calypte anna
Calypte anna
Podilymbus podiceps
Amazona aestiva
Amazona aestiva
Hypophthalmichthys molitrix
Lorius garrulus
Melopsittacus undulatus
Melopsittacus undulatus
Melopsittacus undulatus
Melopsittacus undulatus
Nymphicus hollandicus
Regulus satrapa
Carcharodon carcharias
Carcharodon carcharias
Carcharodon carcharias
Dicentrarchus labrax
Dicentrarchus labrax
Dicentrarchus labrax
Istiophorus platypterus
Pelodiscus sinensis
Uria aalge
Erpetoichthys calabaricus
Erpetoichthys calabaricus
Sardina pilchardus
Sardina pilchardus
Danio albolineatus
Gobio gobio
Gobio gobio
Micropterus salmoides
Micropterus salmoides
Aulonocranus dewindti
Aulonocranus dewindti
Bathybates ferox
Bathybates ferox
Callochromis pleurospilus
Callochromis pleurospilus
Cunningtonia longiventralis
Cunningtonia longiventralis
Cyathopharynx furcifer
Cyathopharynx furcifer
Ectodus descampsii
Ectodus descampsii
Lestradea perspicax
Lestradea perspicax
Limnochromis auritus
Limnochromis auritus
Melanochromis auratus
Xenotilapia tenuidentata
Xenotilapia tenuidentata
Ophthalmotilapia ventralis
Ophthalmotilapia ventralis
Paracyprichromis brieni
Paracyprichromis brieni
Tanganicodus irsacae
Tanganicodus irsacae
Xenotilapia ochrogenys
Xenotilapia ochrogenys
Cyphotilapia frontosa
Cyphotilapia frontosa
Dermochelys coriacea
Dermochelys coriacea
Dermochelys coriacea
Anolis carolinensis
Alca torda
Alca torda
Alca torda
Cepphus grylle
Fratercula arctica
Uria lomvia
Lanius ludovicianus
Diphyllodes magnificus
Ptilonorhynchus violaceus
Cyprinodon variegatus
Lobochilotes labiatus
Lobochilotes labiatus
Petrochromis orthognathus
Petrochromis orthognathus
Solea senegalensis
Chanos chanos
Chanos chanos
Chanos chanos
Osmerus eperlanus
Spea multiplicata
Bufo gargarizans
Pyxicephalus adspersus
Chauna torquata
Lagopus leucura
Grus japonensis
Opisthocomus hoazin
Coloeus monedula
Fulmarus glacialis
Pionus senilis
Pygoscelis papua
Pygoscelis papua
Pygoscelis papua
Bubo bubo
Nothoprocta perdicaria
Oryzias melastigma
Oryzias melastigma
Mallotus villosus
Takifugu rubripes
Takifugu rubripes
Takifugu rubripes
Trachemys scripta elegans
Ptyas mucosa
Vipera berus berus
Xiphophorus couchianus
Boulengerochromis microlepis
Boulengerochromis microlepis
Callochromis macrops
Callochromis macrops
Cardiopharynx schoutedeni
Cardiopharynx schoutedeni
Chalinochromis popelini
Chalinochromis popelini
Gnathochromis pfefferi
Gnathochromis pfefferi
Julidochromis marlieri
Julidochromis marlieri
Lamprologus callipterus
Lamprologus callipterus
Lepidiolamprologus elongatus
Lepidiolamprologus elongatus
Neolamprologus brichardi
Neolamprologus brichardi
Neolamprologus brichardi
Neolamprologus tetracanthus
Neolamprologus tetracanthus
Perissodus microlepis
Perissodus microlepis
Telmatochromis temporalis
Telmatochromis temporalis
Tylochromis polylepis
Tylochromis polylepis
Xenotilapia sima
Xenotilapia sima
Xenotilapia sima
Xenotilapia sima
Gambusia affinis
Gambusia affinis
Scopus umbretta
Balaeniceps rex
Crotophaga sulcirostris
Piaya cayana
Gymnogyps californianus
Alosa sapidissima
Alosa sapidissima
Alosa sapidissima
Callionymus lyra
Tautogolabrus adspersus
Tautogolabrus adspersus
Altolamprologus calvus
Altolamprologus calvus
Altolamprologus compressiceps
Altolamprologus compressiceps
Chalinochromis brichardi
Chalinochromis brichardi
Neolamprologus brevis
Neolamprologus brevis
Neolamprologus calliurus
Neolamprologus calliurus
Neolamprologus caudopunctatus
Neolamprologus caudopunctatus
Neolamprologus christyi
Neolamprologus christyi
Neolamprologus cylindricus
Neolamprologus cylindricus
Neolamprologus furcifer
Neolamprologus furcifer
Neolamprologus longior
Neolamprologus longior
Variabilichromis moorii
Variabilichromis moorii
Neolamprologus toae
Neolamprologus toae
Telmatochromis bifrenatus
Telmatochromis bifrenatus
Telmatochromis vittatus
Telmatochromis vittatus
Triglachromis otostigma
Triglachromis otostigma
Morone saxatilis
Morone saxatilis
Amblyornis subalaris
Vireo altiloquus
Hydrophis melanocephalus
Emydocephalus ijimae
Thamnophis elegans
Thamnophis elegans
Thamnophis sirtalis
Crotalus horridus
Mchenga conophoros
Clarias macrocephalus
Naja naja
Naja naja
Chiloscyllium plagiosum
Thymallus thymallus
Chionodraco hamatus
Chaenocephalus aceratus
Dissostichus mawsoni
Trachurus trachurus
Trachurus trachurus
Gyps himalayensis
Corvus macrorhynchos
Cicinnurus regius
Paradisaea raggiana
Leiothrix lutea
Zosterops japonicus
Pelecanus crispus
Kryptolebias marmoratus
Kryptolebias marmoratus
Gavia stellata
Fregata magnificens
Phalacrocorax brasilianus
Pelecanoides urinatrix
Eudyptes pachyrhynchus
Spheniscus magellanicus
Spheniscus magellanicus
Spheniscus magellanicus
Spheniscus magellanicus
Eudyptula minor
Gambusia holbrooki
Erithacus rubecula
Erithacus rubecula
Erithacus rubecula
Orthonyx spaldingii
Alligator sinensis
Gopherus agassizii
Diplodus sargus
Pantherophis obsoletus
Aphelocoma coerulescens
Acrocephalus arundinaceus
Acrocephalus arundinaceus
Agelaius phoeniceus
Agelaius phoeniceus
Parotia lawesii
Paradisaea rubra
Acipenser oxyrinchus oxyrinchus
Lonchura striata
Neolamprologus leleupi
Neolamprologus tretocephalus
Neolamprologus tretocephalus
Spizella passerina
Junco hyemalis
Trematomus bernacchii
Trematomus bernacchii
Trematomus loennbergii
Grus nigricollis
Grus monacha
Seriola dumerili
Pygocentrus nattereri
Pygocentrus nattereri
Pygocentrus nattereri
Colossoma macropomum
Colossoma macropomum
Hepsetus odoe
Gymnarchus niloticus
Hirundo rustica
Hirundo rustica
Hirundo rustica
Harpagifer antarcticus
Harpagifer antarcticus
Fratercula cirrhata
Glareola pratincola
Cathartes aura
Zosterops pallidus
Simochromis diagramma
Simochromis diagramma
Simochromis diagramma
Monopterus albus
Chloebia gouldiae
Eopsaltria australis
Zonotrichia albicollis
Zonotrichia albicollis
Melospiza melodia
Carettochelys insculpta
Podocnemis expansa
