8839;Eukaryota;Chordata;Aves;Anseriformes;Anatidae;Anas;Anas platyrhynchos
8868;Eukaryota;Chordata;Aves;Anseriformes;Anatidae;Cygnus;Cygnus atratus
8869;Eukaryota;Chordata;Aves;Anseriformes;Anatidae;Cygnus;Cygnus olor
8884;Eukaryota;Chordata;Aves;Anseriformes;Anatidae;Oxyura;Oxyura jamaicensis
8897;Eukaryota;Chordata;Aves;Apodiformes;Apodidae;Chaetura;Chaetura pelagica
8932;Eukaryota;Chordata;Aves;Columbiformes;Columbidae;Columba;Columba livia
8954;Eukaryota;Chordata;Aves;Falconiformes;Falconidae;Falco;Falco peregrinus
8969;Eukaryota;Chordata;Aves;Accipitriformes;Accipitridae;Haliaeetus;Haliaeetus albicilla
8996;Eukaryota;Chordata;Aves;Galliformes;Numididae;Numida;Numida meleagris
9002;Eukaryota;Chordata;Aves;Galliformes;Phasianidae;Centrocercus;Centrocercus urophasianus
9031;Eukaryota;Chordata;Aves;Galliformes;Phasianidae;Gallus;Gallus gallus
9031;Eukaryota;Chordata;Aves;Galliformes;Phasianidae;Gallus;Gallus gallus
9054;Eukaryota;Chordata;Aves;Galliformes;Phasianidae;Phasianus;Phasianus colchicus
9103;Eukaryota;Chordata;Aves;Galliformes;Phasianidae;Meleagris;Meleagris gallopavo
9135;Eukaryota;Chordata;Aves;Passeriformes;Fringillidae;Serinus;Serinus canaria
9157;Eukaryota;Chordata;Aves;Passeriformes;Paridae;Parus;Parus major
9160;Eukaryota;Chordata;Aves;Passeriformes;Passeridae;Passer;Passer montanus
9172;Eukaryota;Chordata;Aves;Passeriformes;Sturnidae;Sturnus;Sturnus vulgaris
9209;Eukaryota;Chordata;Aves;Pelecaniformes;Phalacrocoracidae;Phalacrocorax;Phalacrocorax carbo
9233;Eukaryota;Chordata;Aves;Sphenisciformes;Spheniscidae;Aptenodytes;Aptenodytes forsteri
9238;Eukaryota;Chordata;Aves;Sphenisciformes;Spheniscidae;Pygoscelis;Pygoscelis adeliae
9244;Eukaryota;Chordata;Aves;Apodiformes;Trochilidae;Calypte;Calypte anna
13146;Eukaryota;Chordata;Aves;Psittaciformes;Psittaculidae;Melopsittacus;Melopsittacus undulatus
13397;Eukaryota;Chordata;Chondrichthyes;Lamniformes;Alopiidae;Carcharodon;Carcharodon carcharias
13735;Eukaryota;Chordata;;Testudines;Trionychidae;Pelodiscus;Pelodiscus sinensis
27687;Eukaryota;Chordata;Cladistia;Polypteriformes;Polypteridae;Erpetoichthys;Erpetoichthys calabaricus
27706;Eukaryota;Chordata;Actinopteri;Centrarchiformes;Centrarchidae;Micropterus;Micropterus salmoides
27794;Eukaryota;Chordata;;Testudines;Dermochelyidae;Dermochelys;Dermochelys coriacea
28377;Eukaryota;Chordata;Lepidosauria;Squamata;Dactyloidae;Anolis;Anolis carolinensis
