5664;Eukaryota;Euglenozoa;Kinetoplastea;Trypanosomatida;Trypanosomatidae;Leishmania;Leishmania major
44689;Eukaryota;Evosea;Eumycetozoa;Dictyosteliales;Dictyosteliaceae;Dictyostelium;Dictyostelium discoideum
237895;Eukaryota;Apicomplexa;Conoidasida;Eucoccidiorida;Cryptosporidiidae;Cryptosporidium;Cryptosporidium hominis
5807;Eukaryota;Apicomplexa;Conoidasida;Eucoccidiorida;Cryptosporidiidae;Cryptosporidium;Cryptosporidium parvum
5693;Eukaryota;Euglenozoa;Kinetoplastea;Trypanosomatida;Trypanosomatidae;Trypanosoma;Trypanosoma cruzi
46681;Eukaryota;Evosea;;Mastigamoebida;Entamoebidae;Entamoeba;Entamoeba dispar
33085;Eukaryota;Evosea;;Mastigamoebida;Entamoebidae;Entamoeba;Entamoeba invadens
4787;Eukaryota;Oomycota;;Peronosporales;Peronosporaceae;Phytophthora;Phytophthora infestans
5888;Eukaryota;Ciliophora;Oligohymenophorea;Peniculida;Parameciidae;Paramecium;Paramecium tetraurelia
5888;Eukaryota;Ciliophora;Oligohymenophorea;Peniculida;Parameciidae;Paramecium;Paramecium tetraurelia
5722;Eukaryota;Parabasalia;;Trichomonadida;Trichomonadidae;Trichomonas;Trichomonas vaginalis
5660;Eukaryota;Euglenozoa;Kinetoplastea;Trypanosomatida;Trypanosomatidae;Leishmania;Leishmania braziliensis
31276;Eukaryota;Perkinsozoa;;Perkinsida;Perkinsidae;Perkinsus;Perkinsus marinus
5671;Eukaryota;Euglenozoa;Kinetoplastea;Trypanosomatida;Trypanosomatidae;Leishmania;Leishmania infantum
5808;Eukaryota;Apicomplexa;Conoidasida;Eucoccidiorida;Cryptosporidiidae;Cryptosporidium;Cryptosporidium muris
529818;Eukaryota;;;Apusomonadida;Apusomonadidae;Thecamonas;Thecamonas trahens
462227;Eukaryota;Apicomplexa;Aconoidasida;Piroplasmida;Babesiidae;Babesia;Babesia sp. Xinjiang
464988;Eukaryota;;Cryptophyceae;Cryptomonadales;Hemiselmidaceae;Hemiselmis;Hemiselmis andersenii
5865;Eukaryota;Apicomplexa;Aconoidasida;Piroplasmida;Babesiidae;Babesia;Babesia bovis
5811;Eukaryota;Apicomplexa;Conoidasida;Eucoccidiorida;Sarcocystidae;Toxoplasma;Toxoplasma gondii
2850;Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculales;Phaeodactylaceae;Phaeodactylum;Phaeodactylum tricornutum
29176;Eukaryota;Apicomplexa;Conoidasida;Eucoccidiorida;Sarcocystidae;Neospora;Neospora caninum
647221;Eukaryota;Apicomplexa;Aconoidasida;Haemosporida;Plasmodiidae;Plasmodium;Plasmodium gaboni
2086695;Eukaryota;Evosea;Eumycetozoa;Acytosteliales;Acytosteliaceae;Heterostelium;Heterostelium album
5691;Eukaryota;Euglenozoa;Kinetoplastea;Trypanosomatida;Trypanosomatidae;Trypanosoma;Trypanosoma brucei
101203;Eukaryota;Oomycota;;Saprolegniales;Saprolegniaceae;Saprolegnia;Saprolegnia parasitica
4792;Eukaryota;Oomycota;;Peronosporales;Peronosporaceae;Phytophthora;Phytophthora parasitica
857276;Eukaryota;Apicomplexa;Conoidasida;Eucoccidiorida;Cryptosporidiidae;Cryptosporidium;Cryptosporidium ubiquitum
68886;Eukaryota;Apicomplexa;Aconoidasida;Piroplasmida;Theileriidae;Theileria;Theileria orientalis
880535;Eukaryota;Apicomplexa;Aconoidasida;Haemosporida;Plasmodiidae;Plasmodium;Plasmodium sp. gorilla clade G2
55529;Eukaryota;;Cryptophyceae;Pyrenomonadales;Geminigeraceae;Guillardia;Guillardia theta
5665;Eukaryota;Euglenozoa;Kinetoplastea;Trypanosomatida;Trypanosomatidae;Leishmania;Leishmania mexicana
944170;Eukaryota;;Bigyra;Opalinata;Blastocystidae;Blastocystis;Blastocystis sp. subtype 4
412467;Eukaryota;Evosea;;Mastigamoebida;Entamoebidae;Entamoeba;Entamoeba nuttalli
72520;Eukaryota;;Eustigmatophyceae;Eustigmatales;Monodopsidaceae;Nannochloropsis;Nannochloropsis gaditana
5827;Eukaryota;Apicomplexa;Aconoidasida;Haemosporida;Plasmodiidae;Plasmodium;Plasmodium cynomolgi
5868;Eukaryota;Apicomplexa;Aconoidasida;Piroplasmida;Babesiidae;Babesia;Babesia microti
112098;Eukaryota;Oomycota;;Saprolegniales;Saprolegniaceae;Saprolegnia;Saprolegnia diclina
52288;Eukaryota;Apicomplexa;Aconoidasida;Haemosporida;Plasmodiidae;Plasmodium;Plasmodium inui
5755;Eukaryota;Discosea;;Longamoebia;Acanthamoebidae;Acanthamoeba;Acanthamoeba castellanii
361139;Eukaryota;Evosea;Eumycetozoa;Acytosteliales;Acytosteliaceae;Acytostelium;Acytostelium subglobosum
5872;Eukaryota;Apicomplexa;Aconoidasida;Piroplasmida;Theileriidae;Theileria;Theileria equi
